"","admin2","year","date","iso","household","individual","male","female","infant","child","youth","adult","elderly","fatalities","event","percent_adult","admin2pop","individual_norm"
"37","Amedi",2018,Nov 2018,"IRQ",1202,7212,NA,NA,NA,NA,NA,NA,NA,41,23,48.9243491181601,110945.987485327,0.0650046041633891
"38","Amedi",2017,Oct 2017,"IRQ",4144,24864,NA,NA,NA,NA,NA,NA,NA,36,11,48.6581873876274,110945.987485327,0.224109051292083
"39","Amedi",2018,Jan 2018,"IRQ",3140,18840,NA,NA,NA,NA,NA,NA,NA,12,4,48.9243491181601,110945.987485327,0.169812360293712
"40","Amedi",2018,Mar 2018,"IRQ",2918,17508,NA,NA,NA,NA,NA,NA,NA,6,11,48.9243491181601,110945.987485327,0.157806518260207
"41","Amedi",2018,Jul 2018,"IRQ",2814,16884,NA,NA,NA,NA,NA,NA,NA,22,17,48.9243491181601,110945.987485327,0.152182159830097
"42","Amedi",2018,May 2018,"IRQ",2850,17100,NA,NA,NA,NA,NA,NA,NA,1,4,48.9243491181601,110945.987485327,0.154129053132828
"43","Amedi",2018,Apr 2018,"IRQ",2876,17256,NA,NA,NA,NA,NA,NA,NA,9,5,48.9243491181601,110945.987485327,0.155535142740355
"44","Baiji",2018,Feb 2018,"IRQ",2860,17160,NA,NA,NA,NA,NA,NA,NA,4,4,48.9243491181601,215169.397828884,0.0797511178315733
"45","Baiji",2019,Jan 2019,"IRQ",735,4410,NA,NA,NA,NA,NA,NA,NA,8,6,49.2412841735641,215169.397828884,0.0204954795825896
"46","Baiji",2018,Jun 2018,"IRQ",2626,15756,NA,NA,NA,NA,NA,NA,NA,5,4,48.9243491181601,215169.397828884,0.0732260263726264
"47","Baiji",2018,Mar 2018,"IRQ",2860,17160,NA,NA,NA,NA,NA,NA,NA,12,6,48.9243491181601,215169.397828884,0.0797511178315733
"48","Baiji",2017,Dec 2017,"IRQ",2860,17160,NA,NA,NA,NA,NA,NA,NA,0,1,48.6581873876274,215169.397828884,0.0797511178315733
"49","Baiji",2020,Mar 2020,"IRQ",86,516,NA,NA,NA,NA,NA,NA,NA,25,1,49.5799342505784,215169.397828884,0.00239811053619416
"50","Baiji",2019,May 2019,"IRQ",884,5304,NA,NA,NA,NA,NA,NA,NA,11,6,49.2412841735641,215169.397828884,0.0246503455115772
"51","Baiji",2018,Sep 2018,"IRQ",2180,13080,NA,NA,NA,NA,NA,NA,NA,0,3,48.9243491181601,215169.397828884,0.0607893135918985
"52","Baiji",2018,Nov 2018,"IRQ",735,4410,NA,NA,NA,NA,NA,NA,NA,5,5,48.9243491181601,215169.397828884,0.0204954795825896
"53","Baiji",2018,Apr 2018,"IRQ",2860,17160,NA,NA,NA,NA,NA,NA,NA,3,4,48.9243491181601,215169.397828884,0.0797511178315733
"54","Baiji",2018,Aug 2018,"IRQ",2375,14250,NA,NA,NA,NA,NA,NA,NA,15,5,48.9243491181601,215169.397828884,0.0662268898076876
"55","Baiji",2018,Jul 2018,"IRQ",2533,15198,NA,NA,NA,NA,NA,NA,NA,16,9,48.9243491181601,215169.397828884,0.0706327207927885
"56","Baiji",2020,Jan 2020,"IRQ",142,852,NA,NA,NA,NA,NA,NA,NA,0,1,49.5799342505784,215169.397828884,0.00395967088534385
"57","Baiji",2019,Sep 2019,"IRQ",247,1482,NA,NA,NA,NA,NA,NA,NA,7,2,49.2412841735641,215169.397828884,0.00688759653999951
"58","Baiji",2018,May 2018,"IRQ",2626,15756,NA,NA,NA,NA,NA,NA,NA,0,2,48.9243491181601,215169.397828884,0.0732260263726264
"59","Baiji",2018,Oct 2018,"IRQ",1960,11760,NA,NA,NA,NA,NA,NA,NA,22,12,48.9243491181601,215169.397828884,0.054654612220239
"60","Baiji",2020,May 2020,"IRQ",86,516,NA,NA,NA,NA,NA,NA,NA,2,1,49.5799342505784,215169.397828884,0.00239811053619416
"61","Baiji",2018,Jan 2018,"IRQ",2860,17160,NA,NA,NA,NA,NA,NA,NA,13,7,48.9243491181601,215169.397828884,0.0797511178315733
"62","Baiji",2017,Nov 2017,"IRQ",2860,17160,NA,NA,NA,NA,NA,NA,NA,29,10,48.6581873876274,215169.397828884,0.0797511178315733
"63","Baiji",2017,Oct 2017,"IRQ",2860,17160,NA,NA,NA,NA,NA,NA,NA,121,21,48.6581873876274,215169.397828884,0.0797511178315733
"64","Baiji",2019,Jul 2019,"IRQ",442,2652,NA,NA,NA,NA,NA,NA,NA,8,3,49.2412841735641,215169.397828884,0.0123251727557886
"65","Balad",2020,May 2020,"IRQ",784,4704,NA,NA,NA,NA,NA,NA,NA,2,3,49.5799342505784,273188.748253137,0.0172188643568924
"66","Balad",2018,Mar 2018,"IRQ",5159,30954,NA,NA,NA,NA,NA,NA,NA,14,7,48.9243491181601,273188.748253137,0.113306277062765
"67","Balad",2018,Jun 2018,"IRQ",4242,25452,NA,NA,NA,NA,NA,NA,NA,8,2,48.9243491181601,273188.748253137,0.0931663553596144
"68","Balad",2018,Aug 2018,"IRQ",3934,23604,NA,NA,NA,NA,NA,NA,NA,11,3,48.9243491181601,273188.748253137,0.0864018015051209
"69","Balad",2018,Sep 2018,"IRQ",3956,23736,NA,NA,NA,NA,NA,NA,NA,1,2,48.9243491181601,273188.748253137,0.0868849839232991
"70","Balad",2017,Oct 2017,"IRQ",6981,41886,NA,NA,NA,NA,NA,NA,NA,34,9,48.6581873876274,273188.748253137,0.153322566422788
"71","Balad",2018,Feb 2018,"IRQ",5773,34638,NA,NA,NA,NA,NA,NA,NA,12,6,48.9243491181601,273188.748253137,0.126791459097372
"72","Balad",2018,May 2018,"IRQ",4572,27432,NA,NA,NA,NA,NA,NA,NA,2,2,48.9243491181601,273188.748253137,0.100414091632286
"73","Balad",2017,Dec 2017,"IRQ",6472,38832,NA,NA,NA,NA,NA,NA,NA,28,4,48.6581873876274,273188.748253137,0.142143482293122
"74","Balad",2018,Apr 2018,"IRQ",4744,28464,NA,NA,NA,NA,NA,NA,NA,12,6,48.9243491181601,273188.748253137,0.104191699628951
"75","Balad",2018,Jul 2018,"IRQ",3912,23472,NA,NA,NA,NA,NA,NA,NA,12,4,48.9243491181601,273188.748253137,0.0859186190869428
"76","Balad",2019,Jan 2019,"IRQ",1737,10422,NA,NA,NA,NA,NA,NA,NA,1,1,49.2412841735641,273188.748253137,0.0381494481988803
"77","Balad",2020,Mar 2020,"IRQ",795,4770,NA,NA,NA,NA,NA,NA,NA,3,1,49.5799342505784,273188.748253137,0.0174604555659815
"78","Balad",2018,Oct 2018,"IRQ",3956,23736,NA,NA,NA,NA,NA,NA,NA,3,1,48.9243491181601,273188.748253137,0.0868849839232991
"79","Basrah",2018,Jan 2018,"IRQ",1429,8574,NA,NA,NA,NA,NA,NA,NA,0,4,48.9243491181601,1382805.16066197,0.00620043968876678
"80","Basrah",2018,Aug 2018,"IRQ",1229,7374,NA,NA,NA,NA,NA,NA,NA,0,1,48.9243491181601,1382805.16066197,0.00533263847270425
"81","Basrah",2019,Sep 2019,"IRQ",495,2970,NA,NA,NA,NA,NA,NA,NA,0,3,49.2412841735641,1382805.16066197,0.00214780800975476
"82","Basrah",2017,Nov 2017,"IRQ",1524,9144,NA,NA,NA,NA,NA,NA,NA,0,1,48.6581873876274,1382805.16066197,0.00661264526639648
"83","Basrah",2018,Jun 2018,"IRQ",1201,7206,NA,NA,NA,NA,NA,NA,NA,0,1,48.9243491181601,1382805.16066197,0.00521114630245549
