"","year","admin2","iso","date","household","individual","male","female","infant","child","youth","adult","elderly","admin2pop","percent_adult","individual_norm"
"91",2015,"JERE","NGA",Mar 2015,1294,10435,5252,5183,376,1174,1136,7015,734,2428520.89128178,51.396740570621,0.00429685412114878
"92",2015,"WUKARI","NGA",Mar 2015,2622,2622,1300,1322,278,514,746,705,379,NA,51.396740570621,NA
"93",2015,"BIU","NGA",Jan 2015,171,859,384,475,34,114,323,327,61,2410072.67329813,51.396740570621,0.000356420787438114
"94",2015,"BIU","NGA",Jun 2015,300,2517,1121,1396,0,421,446,1650,0,2410072.67329813,51.396740570621,0.00104436684747582
"95",2015,"GIREI","NGA",Mar 2015,1835,10752,4412,6340,119,1962,3264,4202,1205,1682082.69921777,51.396740570621,0.00639207573147272
"96",2015,"LAU","NGA",Sep 2015,820,5036,2457,2579,477,891,1270,1516,882,NA,51.396740570621,NA
"97",2015,"KONDUGA","NGA",Jun 2015,2920,14200,5830,8370,1235,1360,3205,6400,2000,2039364.08189473,51.396740570621,0.00696295483776838
"98",2015,"GIREI","NGA",Sep 2015,330,2265,1165,1100,263,210,862,898,32,1682082.69921777,51.396740570621,0.00134654497133424
"99",2015,"TOUNGO","NGA",Jan 2015,68,887,400,487,43,209,283,333,19,2298805.59700997,51.396740570621,0.000385852549321139
"100",2015,"TOUNGO","NGA",Mar 2015,21,342,146,196,26,21,88,180,27,2298805.59700997,51.396740570621,0.00014877291078673
"101",2015,"WUKARI","NGA",Sep 2015,385,2485,1199,1286,228,380,742,950,185,NA,51.396740570621,NA
"102",2015,"WUKARI","NGA",Nov 2015,414,2624,1197,1427,142,279,912,1144,147,NA,51.396740570621,NA
"103",2015,"GIREI","NGA",Jun 2015,990,2321,865,1456,45,1119,738,337,82,1682082.69921777,51.396740570621,0.00137983703243566
"104",2015,"TAFAWA BALEWA","NGA",Sep 2015,525,3923,1584,2339,203,492,1188,1750,290,NA,51.396740570621,NA
"105",2015,"MICHIKA","NGA",Jul 2015,125,902,247,655,67,125,320,360,30,3090551.25850183,51.396740570621,0.000291857317531517
"106",2015,"JALINGO","NGA",Jul 2015,171,881,413,468,36,306,255,232,52,NA,51.396740570621,NA
"107",2015,"GANYE","NGA",Mar 2015,58,350,152,198,7,27,122,164,30,1966109.91724828,51.396740570621,0.000178016496905652
"108",2015,"JALINGO","NGA",Mar 2015,316,1595,733,862,309,513,321,336,116,NA,51.396740570621,NA
"109",2015,"JALINGO","NGA",Jun 2015,94,481,194,287,42,64,108,227,40,NA,51.396740570621,NA
"110",2015,"YOLA SOUTH","NGA",Jun 2015,193,1073,567,506,106,230,286,307,144,2771035.30214645,51.396740570621,0.000387219895455266
"111",2015,"KARU","NGA",Jul 2015,23,159,0,0,0,0,0,0,0,NA,51.396740570621,NA
"112",2015,"KARU","NGA",Sep 2015,400,1908,835,1073,78,125,460,1187,58,NA,51.396740570621,NA
"113",2015,"JOS NORTH","NGA",Nov 2015,1,282,138,144,0,21,246,13,2,NA,51.396740570621,NA
"114",2015,"KARU","NGA",Nov 2015,446,2453,1086,1367,86,263,598,1440,66,NA,51.396740570621,NA
"115",2015,"DONGA","NGA",Jun 2015,330,1494,772,722,135,380,411,464,104,NA,51.396740570621,NA
"116",2015,"DONGA","NGA",Jul 2015,109,579,250,329,40,110,153,201,75,NA,51.396740570621,NA
"117",2015,"BALI","NGA",Mar 2015,24,173,69,104,16,36,43,55,23,NA,51.396740570621,NA
"118",2015,"BALI","NGA",Jun 2015,331,990,482,508,69,199,337,302,83,NA,51.396740570621,NA
"119",2016,"AKKO","NGA",Dec 2016,1317,7067,3593,3474,477,1183,2374,2748,285,NA,51.4150816569066,NA
"120",2016,"AKKO","NGA",Nov 2016,1301,6992,3571,3421,477,1170,2341,2715,289,NA,51.4150816569066,NA
"121",2016,"KAGA","NGA",Nov 2016,3067,15335,6781,8554,1662,2999,3548,5609,1517,2926291.45033707,51.4150816569066,0.00524042128415938
"122",2016,"AGATU","NGA",Mar 2016,708,4018,1800,2218,260,510,1099,1768,381,NA,51.4150816569066,NA
"123",2016,"KAGA","NGA",Oct 2016,1376,6881,3193,3688,665,1700,1722,2503,291,2926291.45033707,51.4150816569066,0.00235144042101733
"124",2016,"ALKALERI","NGA",Dec 2016,34,204,105,99,6,45,65,87,1,NA,51.4150816569066,NA
"125",2016,"JOS SOUTH","NGA",Aug 2016,60,433,228,205,10,77,216,125,5,NA,51.4150816569066,NA
"126",2016,"KAGA","NGA",Mar 2016,962,5772,2611,3161,224,677,2027,2652,192,2926291.45033707,51.4150816569066,0.00197246244878826
"127",2016,"YOLA SOUTH","NGA",Nov 2016,3269,16356,8077,8279,623,3002,5391,7032,308,2771035.30214645,51.4150816569066,0.00590248705504784
"128",2016,"YOLA SOUTH","NGA",Dec 2016,3269,16780,8401,8379,705,2132,5846,7849,248,2771035.30214645,51.4150816569066,0.00605549845828459
"129",2016,"FUFORE","NGA",Jan 2016,605,4812,2198,2614,191,933,1561,1886,241,2297776.77629406,51.4150816569066,0.00209419820482344
"130",2016,"YORRO","NGA",Nov 2016,37,237,107,130,4,71,75,86,1,NA,51.4150816569066,NA
"131",2016,"MUBI SOUTH","NGA",Nov 2016,1166,5601,2861,2740,172,1253,1852,2143,181,1945372.4597704,51.4150816569066,0.00287914017280837
"132",2016,"ARDO - KOLA","NGA",Aug 2016,27,191,84,107,5,64,66,51,5,NA,51.4150816569066,NA
"133",2016,"ARDO - KOLA","NGA",Oct 2016,13,51,25,26,1,13,12,24,1,NA,51.4150816569066,NA
"134",2016,"ARDO - KOLA","NGA",Nov 2016,922,4764,2156,2608,271,935,1316,2045,197,NA,51.4150816569066,NA
"135",2016,"ARDO - KOLA","NGA",Dec 2016,831,4110,1837,2273,298,559,1125,1891,237,NA,51.4150816569066,NA
"136",2016,"FUNAKAYE","NGA",Dec 2016,890,4807,2434,2373,703,1107,1272,1337,388,NA,51.4150816569066,NA
"137",2016,"MUBI SOUTH","NGA",Dec 2016,1165,5628,2835,2793,171,1131,1902,2232,192,1945372.4597704,51.4150816569066,0.00289301926308972
"138",2016,"YOLA SOUTH","NGA",Aug 2016,724,2677,1133,1544,118,544,946,977,92,2771035.30214645,51.4150816569066,0.0009660649209075
"139",2016,"FUFORE","NGA",Oct 2016,905,3989,1851,2138,261,907,1289,1454,78,2297776.77629406,51.4150816569066,0.00173602590171253
"140",2016,"YUNUSARI","NGA",Nov 2016,476,3122,1309,1813,172,543,1224,1092,91,2056066.47603776,51.4150816569066,0.00151843339521609
"141",2016,"MUNICIPAL","NGA",Mar 2016,1429,9447,3962,5485,127,961,2936,4610,813,NA,51.4150816569066,NA
"142",2016,"MUNICIPAL","NGA",Aug 2016,1499,9862,4742,5120,547,2847,3115,3189,164,NA,51.4150816569066,NA
"143",2016,"KAGARKO","NGA",Jan 2016,350,2643,1234,1409,129,491,595,1339,89,NA,51.4150816569066,NA
"144",2016,"FUNE","NGA",Dec 2016,650,4880,2333,2547,288,805,1381,2130,276,3478894.50794027,51.4150816569066,0.00140274446059282
"145",2016,"KAGARKO","NGA",Aug 2016,243,1887,923,964,67,421,507,865,27,NA,51.4150816569066,NA
"146",2016,"KALA BALGE","NGA",Dec 2016,7059,35295,15693,19602,2656,7361,9682,11534,4062,NA,51.4150816569066,NA
"147",2016,"NAFADA","NGA",Nov 2016,445,1769,898,871,42,231,763,702,31,NA,51.4150816569066,NA
"148",2016,"NAFADA","NGA",Dec 2016,445,1769,898,871,42,231,763,702,31,NA,51.4150816569066,NA
"149",2016,"FUNE","NGA",Nov 2016,643,4814,2206,2608,238,736,1459,2059,322,3478894.50794027,51.4150816569066,0.00138377291665857
"150",2016,"JADA","NGA",Nov 2016,121,762,363,399,48,91,408,201,14,2807346.09118739,51.4150816569066,0.000271430730394094
"151",2016,"WARJI","NGA",Nov 2016,84,516,270,246,40,109,162,191,14,NA,51.4150816569066,NA
"152",2016,"POTISKUM","NGA",Dec 2016,2435,15947,7300,8647,2228,2393,4995,5180,1151,2059039.28090307,51.4150816569066,0.00774487410119045
"153",2016,"BIU","NGA",Aug 2016,531,2632,1199,1433,86,431,1180,841,94,2410072.67329813,51.4150816569066,0.00109208325091632
"154",2016,"ASKIRA / UBA","NGA",Jan 2016,805,2621,1148,1473,151,539,790,924,217,NA,51.4150816569066,NA
